Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Gibraltar,GIB,0.1438,0.3412,0.5872,0.6123,0.6498,0.6897,0.7174,0.6394,0.6416,0.6357,0.6292,0.6351
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Greece,GRC,77.9104,96.0663,69.4522,68.1612,68.3839,66.5357,61.4927,52.3606,53.7151,55.1164,51.2379,52.5087
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Greenland,GRL,0.0011,0.0013,0.5188,0.5159,0.5031,0.5083,0.5239,0.5275,0.5484,0.5904,0.5849,0.5941
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Grenada,GRD,0.0509,0.0574,0.1171,0.1276,0.128,0.1435,0.1804,0.1536,0.1608,0.1694,0.1699,0.1759
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Guam,GUM,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Guatemala,GTM,3.9193,9.6791,16.9576,18.0238,17.0573,18.7397,19.663,17.6187,20.2047,18.9518,20.1279,20.3694
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Guinea,GIN,0.947,1.4601,2.8673,3.2295,3.2701,3.7415,4.814,5.3934,5.0777,5.2208,5.0264,5.2054
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Guinea-Bissau,GNB,0.169,0.2011,0.3625,0.3788,0.3066,0.3526,0.3566,0.3363,0.336,0.3439,0.3293,0.3422
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Guyana,GUY,1.1737,1.6621,2.0746,2.4564,2.4688,2.5808,2.7934,3.3298,3.3211,3.684,3.7405,3.7886
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Haiti,HTI,1.1416,1.6951,3.494,3.578,3.5867,3.5577,3.5949,3.4445,3.4083,3.3893,3.3805,3.5138
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Honduras,HND,2.3604,5.0003,10.8188,9.7321,9.3472,9.0061,10.1525,9.222,10.3706,10.5707,11.8491,12.2928
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Hong Kong SAR, China",HKG,35.0443,41.901,44.2455,45.0794,44.1348,44.0591,43.5082,34.0619,34.5373,32.1322,34.1194,34.6162
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Hungary,HUN,72.3253,59.4623,47.541,48.2651,51.1346,51.2595,51.5028,49.6521,50.986,47.5733,42.9776,42.6269
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Iceland,ISL,2.3396,2.8524,3.6292,3.1789,3.3299,3.2946,3.1768,3.0717,3.1637,3.2394,3.22,3.293
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,India,IND,600.6812,996.8909,2278.2296,2311.9771,2441.2015,2556.7189,2551.4851,2356.959,2597.9343,2807.0805,3014.5226,3153.8291
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Indonesia,IDN,161.7687,299.0702,512.3973,507.0965,535.7474,596.4692,637.5692,596.2839,622.6868,722.6996,772.5618,812.2042
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Iran, Islamic Rep.",IRN,208.4749,353.9396,629.4902,642.3063,666.3808,661.4499,712.5804,735.8709,784.2646,792.0589,816.133,828.9896
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Iraq,IRQ,69.4445,88.811,137.9041,155.0442,167.3453,180.9429,193.6481,183.8743,199.7098,222.2784,232.976,238.6704
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Ireland,IRL,32.3392,43.827,37.648,39.5133,38.2632,38.0252,36.369,34.2933,36.3826,35.6861,32.8629,32.5693
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Israel,ISR,35.223,59.2839,67.9917,67.5521,67.8229,63.4982,65.3145,61.3925,60.972,63.6364,60.4805,57.6654
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Italy,ITA,426.0575,454.3191,353.7401,349.1697,345.6817,340.3734,332.562,295.2134,330.3484,331.006,304.3081,299.2285
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Jamaica,JAM,7.7041,10.2444,7.1067,7.6254,7.3076,8.6911,8.4395,5.9229,6.4724,7.5151,7.7039,8.074
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Japan,JPN,1162.2863,1243.5768,1232.5762,1228.6537,1212.9423,1163.1278,1123.813,1060.2269,1080.206,1050.5032,1002.4382,972.267
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Jordan,JOR,10.0718,16.4657,25.6334,25.2353,26.5502,25.2117,23.2902,20.948,21.7432,23.338,24.0408,24.144
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kazakhstan,KAZ,248.6294,132.224,202.7539,216.1249,226.4516,229.3799,218.8149,225.4957,241.9078,246.5276,255.4342,258.8037
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kenya,KEN,6.4662,8.9072,17.0005,18.5033,19.2464,19.1369,19.4769,19.1646,21.5155,21.9726,21.2679,21.6387
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kiribati,KIR,0.0167,0.0324,0.0623,0.0678,0.0691,0.0759,0.0761,0.0737,0.0805,0.0758,0.076,0.0797
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Korea, Dem. People's Rep.",PRK,131.9645,73.8063,32.6541,36.0271,73.5427,66.3965,73.4111,69.045,57.2906,59.8036,65.6588,66.2394
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Korea, Rep.",KOR,260.2326,466.4031,643.7994,648.8158,665.288,680.496,654.9901,617.3408,638.7702,613.5467,590.365,588.0089
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kuwait,KWT,32.4079,56.0212,95.5891,98.4,97.4646,99.0797,96.8283,92.9479,99.8995,102.6178,110.1591,115.9313
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kyrgyz Republic,KGZ,23.6564,4.7979,10.3162,9.7414,9.6372,11.4718,10.2267,9.3085,10.515,10.5011,10.2304,10.745
